	icao	latitude	longitude	pm10
236	DAUU	31.91722222222222	5.412777777777778	51.92
237	DAUZ	28.05138888888889	9.642777777777777	17.14
238	DBBB	6.357222222222222	2.3841666666666668	78.08
239	DBBP	9.356944444444444	2.608888888888889	315.53
240	DFFD	12.353055555555555	-1.5122222222222221	160.85
241	DFOO	11.16	-4.3308333333333335	223.74
242	DGAA	5.602777777777778	-0.16805555555555554	134.53
243	DGLE	9.563333333333334	-0.8633333333333333	279.1
244	DGSN	7.361666666666666	-2.328611111111111	325.37
245	DGTK	4.893333333333333	-1.775	124.77
246	DIAP	5.259722222222222	-3.926388888888889	217.26
247	DIBK	7.738611111111111	-5.073611111111111	181.76
248	DIDL	6.7924999999999995	-6.473055555555556	195.89
249	DIKO	9.386944444444444	-5.556388888888889	166.32
250	DIMN	7.271944444444444	-7.586944444444444	221.12
251	DISP	4.746666666666667	-6.660555555555556	105.72
252	DIYO	6.9030555555555555	-5.365833333333333	189.59
253	DNAA	9.006666666666666	7.263055555555556	217.81
254	DNAK	7.246666666666667	5.300833333333333	213.14
255	DNBE	6.317222222222222	5.599444444444444	121.24
256	DNCA	4.975833333333333	8.346944444444444	48.54
257	DNEN	6.474166666666667	7.561944444444444	122.13
258	DNGU	12.171666666666667	6.696111111111112	342.08
259	DNIB	7.362222222222222	3.9783333333333335	225.51
260	DNIL	8.44	4.493888888888889	325.81
261	DNJO	9.639722222222222	8.86888888888889	202.46
262	DNKA	10.695833333333333	7.319999999999999	250.23
263	DNKN	12.0475	8.524444444444445	395.21
264	DNMA	11.855277777777777	13.080833333333333	129.83
265	DNMK	7.703611111111111	8.613888888888889	173.49
266	DNMM	6.577222222222222	3.3211111111111107	124.79
267	DNMN	9.651944444444444	6.4622222222222225	257.93
268	DNPO	5.0152777777777775	6.9494444444444445	67.08
269	DNSO	12.916111111111112	5.206944444444445	578.48
270	DNYO	9.260277777777778	12.429722222222221	103.24
271	DNZA	11.13	7.685555555555556	219.07
272	DRRM	13.5025	7.126666666666666	406.69
273	DRRN	13.481388888888889	2.183611111111111	198.49
274	DRRT	14.875555555555556	5.2652777777777775	248.77
275	DRZA	16.96472222222222	7.996944444444445	298.04
