	iata	icao	latitude	longitude	pm10
244	ABM	YNPE	-10.9508	142.459	0.51
245	IFF	YIFY	-18.9	141.217	2.15
246	IFL	YIFL	-17.5594	146.012	7.71
247	IGH	YIGM	-18.6606	146.152	5.37
248	BHQ	YBHI	-32.0014	141.472	3.87
249	ZNE	YNWN	-23.4178	119.803	9.83
250	BHS	YBTH	-33.4094	149.652	0.53
251	BHT		-23.3639	141.563	41.02
252	CFH		-27.0183	138.892	29.93
253	CFI	YCFD	-17.0217	131.327	7.32
254	ABX	YMAY	-36.0678	146.958	0.59
255	MVU	YMGV	-14.7757	143.505	2.75
256	RHL	YRYH	-22.6258	119.959	12.7
257	IKP	YIKM	-16.275	141.442	0.64
258	INJ	YINJ	-25.851	148.55	1.1
259	CFP		-18.7167	144.317	0.75
260	RCN		-35.7574	137.776	6.13
261	DFP		-16.053	143.012	0.75
262	CFS	YCFS	-30.3206	153.116	2.18
263	RCM	YRMD	-20.7019	143.115	3.21
264	INM	YINN	-27.7	140.733	13.13
265	RBU	YROE	-20.7617	117.157	23.78
266	DGD	YDGA	-27.8303	117.316	22.04
267	DGE	YMDG	-32.5625	149.611	0.52
268	RBS	YORB	-37.79	148.61	4.09
269	RBC	YROI	-34.65	142.783	2.03
270	MVK	YMUK	-28.3478	138.65	29.98
271	MVH		-30.7	152.917	1.19
272	IRG	YLHR	-12.7869	143.305	0.55
273	XMY	YYMI	-9.90111	142.776	0.51
274	BIP		-16.8808	143.479	1.05
275	RAM	YRNG	-12.3564	134.898	1.18
276	ISA	YBMA	-20.6639	139.489	51.04
277	ISI	YISF	-24.2583	144.425	5.86
278	XML	YMIN	-34.75	137.533	4.7
279	IVR	YIVL	-29.8883	151.144	4.28
280	YNN		59.4875	-97.7803	0.5
281	BIW		-19.5667	127.667	18.23
282	XMC	YMCO	-37.5983	149.72	2.54
283	IVW	YINW	-17.8411	129.643	6.88
284	LST	YMLT	-41.5453	147.214	0.66
285	PXH	YPMH	-29.716	135.524	6.55
286	DHD	YDRH	-27.075	141.9	8.59
287	ADL	YPAD	-34.945	138.531	3.36
288	JAB	YJAB	-12.6583	132.893	1.85
289	JAD	YPJT	-32.0975	115.881	2.69
290	ADO	YAMK	-30.4383	137.137	11.11
291	LSY	YLIS	-28.8303	153.26	3.19
292	CGV	YCAG	-32.265	125.493	5.65
293	JCK	YJLC	-20.6683	141.723	3.87
294	LTB		-41.2352	146.396	1.0
295	MUQ	YMUC	-20.6589	120.067	19.97
296	ZGL	YSGW	-25.6833	142.108	5.72
297	MUP	YMUP	-25.86	131.65	16.34
298	PUG	YPAG	-32.5069	137.717	3.25
299	PTJ	YPOD	-38.3181	141.471	3.75
300	PRD	YPDO	-20.1175	119.59	23.36
301	PQQ	YPMQ	-31.4358	152.863	1.43
302	PPP	YBPN	-20.495	148.552	2.92
303	PPI	YPIR	-33.2389	137.995	3.05
304	JUN	YJDA	-24.8417	143.058	7.13
305	JUR	YJNB	-30.3016	115.056	21.88
306	KAX	YKBR	-27.6928	114.259	40.28
307	KBB		-17.7792	129.21	5.32
308	KBD		-17.3978	124.355	27.3
309	LTP	YLHS	-19.1958	144.371	0.9
310	KBJ	YKCA	-24.26	131.49	21.07
311	PMK	YPAM	-18.7553	146.581	6.75
312	KBY	YKBY	-32.8358	134.293	4.12
313	KCE	YCSV	-20.5967	147.86	2.84
314	PLO	YPLC	-34.6053	135.88	3.8
315	KCS	YKCS	-24.4233	131.835	24.05
316	PKT	YKPT	-14.25	129.529	36.32
317	LTV	YLOV	-17.0483	141.376	5.27
318	KDB	YKBL	-31.1907	121.598	8.79
319	KDS		-24.3388	139.279	30.09
320	PKE	YPKS	-33.1314	148.239	1.62
321	PHE	YPPD	-20.3778	118.626	25.29
322	MFL		-19.67	144.885	1.44
323	ZBO	YBWN	-20.0183	148.215	3.02
324	KFE	YFDF	-22.2908	119.437	12.55
325	MTQ	YMIT	-26.4833	147.937	0.79
326	MTL	YMND	-32.7013	151.493	1.77
327	ZBL		-24.4	150.51	4.04
328	KFG	YKKG	-17.4319	130.808	9.99
329	KGC	YKSC	-35.7139	137.521	6.44
330	BKP	YBAW	-20.4958	138.475	51.55
331	BKQ	YBCK	-24.4278	145.429	2.64
332	KGI	YPKG	-30.7894	121.462	11.7
333	CIE	YCOI	-33.3667	116.217	2.84
334	PEY		-31.9167	133	7.02
335	DKI	YDKI	-17.9417	146.14	6.67
336	KGR		-25.8428	133.292	20.37
337	PER	YPPH	-31.9403	115.967	4.17
338	PEP		-14.1442	130.091	7.5
339	DKV	YDVR	-24.86	129.07	36.34
340	KGY	YKRY	-26.5808	151.841	1.08
341	PEA	YPSH	-35.7558	137.963	5.65
342	PDN		-35.807	137.264	6.57
343	PDE	YPDI	-26.1167	139.4	27.28
344	MTD	YMSF	-16.9783	130.555	3.74
345	PBO	YPBO	-23.1711	117.745	15.47
346	AGW		-12.1456	142.149	0.63
347	KKP	YKLB	-15.3189	143.955	1.56
348	OYN	YOUY	-35.089	142.354	1.46
349	LUT	YLRS	-15.1833	144.367	1.75
350	LUU	YLRA	-15.55	144.45	2.54
351	DLK	YDLK	-29.0133	138.481	18.99
352	XCO	YOLA	-38.2867	143.68	3.91
353	OXY	YMNY	-25.3583	141.433	9.87
354	OXO		-28.0598	141.536	11.22
355	MGV	YMGR	-18.6217	126.883	9.05
356	BLN	YBLA	-36.5519	146.007	0.66
357	KML	YKML	-19.375	140.057	6.33
358	DLV	YDLV	-12.55	130.685	6.02
359	OSO	YOSB	-22.0817	140.555	31.57
360	KNI	YKNG	-33.7167	117.633	6.86
361	BLS	YBLL	-28.0583	147.483	2.64
362	BLT	YBTR	-23.6031	148.807	1.58
363	CJF	YCWA	-22.9667	118.813	9.6
364	KNS	YKII	-39.8775	143.878	5.82
365	KNX	YPKU	-15.7781	128.708	22.82
366	DMD	YDMG	-17.9403	138.822	1.82
367	ORS		-18.634	146.5	6.75
368	ORR	YYOR	-35	137.617	4.91
369	LVO	YLTN	-28.6136	122.424	28.67
370	YLG	YYAL	-28.3553	116.684	57.93
371	KOH	YKLA	-15.8886	142.439	0.67
372	OPI	YOEN	-12.325	133.006	1.8
373	MRZ	YMOR	-29.4989	149.845	0.85
374	BME	YBRM	-17.9447	122.232	37.13
375	OOR	YMOO	-25.25	140.983	12.31
376	OOM	YCOM	-36.3006	148.974	0.78
377	MRT		-14.8181	133.701	0.68
378	KPP	YKPR	-14.89	144.22	2.57
379	OOL	YBCG	-28.1644	153.505	4.8
380	LWH	YLAH	-18.5683	138.635	1.96
381	KPS	YKMP	-31.0744	152.77	3.23
382	DNB	YDBR	-16.05	142.4	0.63
383	CKI	YCKI	-11.165	132.483	3.04
384	ONS	YOLW	-21.6683	115.113	46.08
385	DNG		-15.3864	126.302	28.03
386	BMP	YBPI	-20.8033	149.27	3.1
387	MRP	YALA	-27.3333	133.627	14.37
388	MRL		46.3834	-82.6331	3.6
389	ONR	YMNK	-24.8167	140.533	13.35
390	ONG	YMTI	-16.6625	139.178	5.51
391	MRG	YMBA	-17.0692	145.419	7.9
392	WYN	YWYM	-15.5114	128.153	41.63
393	MQZ	YMGT	-33.9306	115.1	4.29
394	WYA	YWHA	-33.0589	137.514	2.84
395	DNM		-25.8882	113.577	49.29
396	KQR	YKAR	-29.2167	116.687	66.18
397	KRA	YKER	-35.7514	143.939	1.33
398	WWY	YWWL	-33.9372	147.191	0.76
399	CKW	YCHK	-22.3543	119.643	12.88
400	DNQ	YDLQ	-35.5594	144.946	1.46
401	KRB	YKMB	-17.4567	140.83	4.14
402	WWI	YWWI	-21.6628	121.234	13.58
403	MQL	YMIA	-34.2292	142.086	1.9
404	KRD		-20.51	134.671	41.03
405	BNE	YBBN	-27.3842	153.117	5.72
406	OLP	YOLD	-30.485	136.877	7.06
407	MFP	YMCR	-22.1	137.983	51.97
408	MQE	YMQA	-22.8058	137.251	54.41
409	OKY	YBOK	-27.4114	151.735	1.17
410	BNK	YBNA	-28.8339	153.562	4.13
411	CLH	YCAH	-31.7733	149.61	0.65
412	OKR	YYKI	-9.7528	143.406	1.15
413	KSV	YSPV	-23.55	140.7	31.4
414	OKB	YORC	-24.9594	153.315	4.12
415	WUN	YWLU	-26.6292	120.221	60.19
416	WUI	YMMI	-28.7053	121.891	42.68
417	KTA	YPKA	-20.7122	116.773	26.47
418	MQA	YMDI	-19.7383	120.838	27.13
419	MGT	YMGB	-12.0944	134.894	1.18
420	KTR	YPTN	-14.5211	132.378	1.34
421	ODR	YORV	-17.3408	128.912	5.38
422	ALH	YABA	-34.9433	117.809	7.06
423	WUD	YWUD	-33.0433	135.447	3.21
424	LYT		-24.1129	152.716	4.14
425	ODL	YCOD	-26.7453	140.638	9.66
426	KUG	YKUB	-10.225	142.218	0.54
427	ODD	YOOD	-27.5617	135.447	8.33
428	DOX	YDRA	-29.2981	114.927	38.59
429	OCM	YBGD	-22.54	117.275	18.17
430	OBA		56.4657	-5.3977	2.75
431	KWM	YKOW	-15.4856	141.751	0.52
432	CMA	YCMU	-28.03	145.622	4.62
433	OAG	YORG	-33.3817	149.133	0.51
434	WTB	YBWW	-27.5583	151.793	1.17
435	MOV	YMRB	-22.0578	148.077	2.06
436	CMD	YCTM	-34.6239	148.028	0.93
437	DPO	YDPO	-41.1697	146.43	1.01
438	LZR	YLZI	-14.6733	145.455	3.22
439	MOO	YOOM	-28.0994	140.197	25.77
440	NYN	YNYN	-31.5511	147.203	0.67
441	WSY	YSHR	-20.2761	148.755	3.35
442	KYF	YYLR	-27.2771	120.096	101.25
443	KYI	YYTA	-31.4706	131.825	10.25
444	DRB	YDBY	-17.37	123.661	27.02
445	DRD	YDOR	-16.5537	141.824	0.66
446	BOX	YBRL	-16.0753	136.302	3.59
447	CML	YCMW	-19.9117	138.125	33.12
448	WRW	YWWG	-20.8442	120.702	22.56
449	WRN	YWDG	-30.0317	119.39	8.35
450	NUR	YNUB	-31.4417	130.902	9.95
451	NUB	YNUM	-14.2717	135.717	1.02
452	CMQ	YCMT	-22.7731	147.621	1.46
453	AMT	YAMT	-26.1083	131.207	15.99
454	NTN	YNTN	-17.6841	141.07	3.86
455	NTL	YWLM	-32.795	151.834	1.22
456	AMX		-21.7383	135.242	21.15
457	DRN	YDBI	-28.5917	148.217	3.32
458	MNW	YMDS	-22.444	135.199	30.42
459	MNV		-14.1167	133.833	0.52
460	MNQ	YMTO	-24.8858	151.1	1.91
461	NSV	YNSH	-26.4233	153.063	6.26
462	DRR	YDRI	-25.685	140.228	16.58
463	NSO	YSCO	-32.0372	150.832	1.82
464	WPK	YWMP	-16.6583	144.002	1.33
465	NSM	YNSM	-32.21	121.755	1.7
466	NRY		-16.0442	129.264	12.24
467	DRW	YPDN	-12.4147	130.877	5.51
468	CNB	YCNM	-30.9833	148.376	1.35
469	MNG	YMGD	-12.0561	134.234	0.59
470	BQB	YBLN	-33.6884	115.402	3.19
471	CNC	YCCT	-10.05	143.07	0.66
472	DRY	YDRD	-15.7136	126.381	22.01
473	LBH		-33.5871	151.323	2.12
474	MNE	YMUG	-28.0092	138.657	32.26
475	NRG	YNRG	-32.93	117.08	2.8
476	NRA	YNAR	-34.7022	146.512	0.74
477	BQL	YBOU	-22.9133	139.9	20.26
478	ANZ		-25.0325	132.275	36.92
479	LCN	YBLC	-30.535	139.337	15.72
480	WON	YWDL	-18.575	140.892	1.86
481	CNJ	YCCY	-20.6686	140.504	5.5
482	WOL	YWOL	-34.5611	150.789	1.14
483	MBB	YMBL	-21.1633	119.833	26.24
484	NPP		-22.5312	133.763	13.15
485	WNR	YWDH	-25.4131	142.667	6.58
486	LDC	YLIN	-20.4536	149.04	3.55
487	BQW	YBGO	-20.1483	127.973	17.34
488	LDH	YLHI	-31.5383	159.077	17.54
489	NOA	YSNW	-34.9489	150.537	1.16
490	MBF	YPOK	-36.7187	146.89	0.57
491	WND		-28.475	122.242	47.38
492	CNS	YBCS	-16.8858	145.755	7.92
493	MBH	YMYB	-25.5133	152.715	2.53
494	MMM	YMMU	-22.8025	148.705	1.93
495	LDW		-17.6128	126.743	15.57
496	BRJ		-36.733	146.967	0.57
497	BRK	YBKE	-30.0392	145.952	3.76
498	WME	YMNE	-27.2864	120.555	78.77
499	MBN		-16.6573	125.961	25.99
500	LEA	YPLM	-22.2356	114.089	58.49
501	MMG	YMOG	-28.1161	117.842	23.82
502	LEL	YLEV	-12.4989	135.806	1.47
503	WMB	YWBL	-38.2953	142.447	4.55
504	WLP	YANG	-23.1356	118.707	11.74
505	COB		-15.5483	130.962	4.15
506	NMR	YNAP	-27.5583	141.133	10.02
507	BRT	YBTI	-11.7692	130.62	5.01
508	WLO	YWTL	-16.63	129.32	3.22
509	LER	YLST	-27.8433	120.703	37.87
510	MLV	YMEU	-13.0649	142.454	0.51
511	WLL	YWOR	-17.2199	137.935	4.84
512	WLE	YMLS	-26.8083	150.175	1.14
513	WLC	YWCH	-31	151.567	1.02
514	COJ	YCBB	-31.3325	149.267	2.13
515	NMP		-19.2	145.773	5.04
516	MBW	YMMB	-37.9758	145.102	1.96
517	WLA	YWAL	-19.7736	120.649	28.73
518	NLS		-18.05	128.9	15.67
519	MLR	YMCT	-37.5836	140.366	2.39
520	NLL	YNUL	-21.9133	120.198	13.52
521	LFP	YLFD	-14.9207	144.203	2.57
522	WKB	YWKB	-36.3211	142.419	1.46
523	WIT	YWIT	-22.2183	118.348	13.1
524	BSJ	YBNS	-37.8875	147.568	1.83
525	WIO	YWCA	-31.5264	143.375	3.05
526	WIN	YWTN	-22.3636	143.086	4.05
527	NLF	YDNI	-9.58333	143.767	0.98
528	LGE		-20.1089	127.619	21.22
529	MKY	YBMK	-21.1717	149.18	2.47
530	COY	YCWY	-21.7946	117.755	21.06
531	NKB		-18.4947	124.852	43.01
532	LGH	YLEC	-30.5983	138.426	4.71
533	ARM	YARM	-30.5281	151.617	1.17
534	MKV	YMVG	-25.9667	133.2	18.16
535	NIF	YCNF	-21.6717	121.587	13.42
536	CPD	YCBP	-29.04	134.721	8.44
537	LHG	YLRD	-29.4567	147.984	1.33
538	LIB		-17.2356	129.882	5.21
539	NGA	YYNG	-34.2556	148.248	0.72
540	WHL		-38.6824	146.445	1.89
541	WGT	YWGT	-36.4158	146.307	0.63
542	ARY	YARA	-37.3094	142.989	1.72
543	NDS	YSAN	-27.98	119.297	74.52
544	DVP	YDPD	-24.15	141.108	23.3
545	BTD		-18.64	135.938	17.82
546	DVR		-13.7498	130.694	7.98
547	MKR	YMEK	-26.6117	118.548	17.41
548	LKD	YLND	-15.8333	144.85	3.85
549	WGE	YWLG	-30.0328	148.126	3.78
550	LLG	YCGO	-17.1428	144.529	3.42
551	WGA	YSWG	-35.1653	147.466	0.91
552	WEW	YWWA	-30.2583	149.408	13.99
553	WEI	YBWP	-12.6786	141.925	0.51
554	DXD	YDIX	-15.1175	143.316	3.15
555	LLL		-16.661	128.594	4.99
556	CQP		-14.9708	145.312	2.97
557	ASP	YBAS	-23.8067	133.902	29.55
558	LLP		-23.0167	138.7	32.21
559	MCV	YMHU	-16.4425	136.084	3.6
560	DYA	YDYS	-22.6222	148.364	1.72
561	NBH	YNHS	-30.65	153	2.67
562	MCY	YBSU	-26.6033	153.091	6.28
563	CRB	YCBR	-29.5217	148.582	0.85
564	YUE	YYND	-22.2542	131.782	31.0
565	LNH	YLKN	-20.9807	137.918	46.27
566	DYM		-23.7617	141.145	35.56
567	WDI	YWND	-26.2833	151.858	1.13
568	LNO	YLEO	-28.8781	121.315	39.57
